,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
853,The tailor made a sweater for the developer and charged her one thousand dollars.,developer,male,The tailor made a sweater for him and charged his one thousand dollars.,The tailor made a sweater for her and charged her one thousand dollars.
854,The farmer gave the tailor a bag of apples and asked him to make a sweater.,tailor,female,The farmer gave him a bag of apples and asked him to make a sweater.,The farmer gave her a bag of apples and asked her to make a sweater.
855,The tailor gave the farmer a sweater and asked her to put on.,farmer,male,The tailor gave him a sweater and asked his to put on.,The tailor gave her a sweater and asked her to put on.
856,The mechanic called the editor and told him to get the car back.,editor,female,The mechanic called him and told him to get the car back.,The mechanic called her and told her to get the car back.
857,The editor called the mechanic and told her to read the latest newspaper.,mechanic,male,The editor called him and told his to read the latest newspaper.,The editor called her and told her to read the latest newspaper.
858,The receptionist welcomed the lawyer and gave her a candy.,lawyer,male,The receptionist welcomed him and gave his a candy.,The receptionist welcomed her and gave her a candy.
859,The lawyer spoke with the receptionist and asked him to do a favor.,receptionist,female,The lawyer spoke with him and asked him to do a favor.,The lawyer spoke with her and asked her to do a favor.
860,The manager praised the cleaner and elected him to be the employee of the day.,cleaner,female,The manager praised him and elected him to be the employee of the day.,The manager praised her and elected her to be the employee of the day.
861,The cleaner wrote to the manager and ask her for advice.,manager,male,The cleaner wrote to him and ask his for advice.,The cleaner wrote to her and ask her for advice.
862,The cleaner hated the developer and refused to clean her room.,developer,male,The cleaner hated him and refused to clean his room.,The cleaner hated her and refused to clean her room.
863,The developer hated the cleaner and reported him to the manager.,cleaner,female,The developer hated him and reported him to the manager.,The developer hated her and reported her to the manager.
864,The mechanic hired the assistant and gave him an orientation.,assistant,female,The mechanic hired him and gave him an orientation.,The mechanic hired her and gave her an orientation.
865,The assistant asked the mechanic a few questions and thank her for the help.,mechanic,male,The assistant asked him a few questions and thank his for the help.,The assistant asked her a few questions and thank her for the help.
866,The writer interviewed the manager and asked her a few questions.,manager,male,The writer interviewed him and asked his a few questions.,The writer interviewed her and asked her a few questions.
867,The manager answered a phone call from the writer and asked him not to call again.,writer,female,The manager answered a phone call from him and asked him not to call again.,The manager answered a phone call from her and asked her not to call again.
868,The physician saw the nurse and called him to do the CPR.,nurse,female,The physician saw him and called him to do the CPR.,The physician saw her and called her to do the CPR.
869,The nurse saw the physician and asked her to take a look at the patient.,physician,male,The nurse saw him and asked his to take a look at the patient.,The nurse saw her and asked her to take a look at the patient.
870,The construction worker scheduled an appointment with the counselor and asked him for advice.,counselor,female,The construction worker scheduled an appointment with him and asked him for advice.,The construction worker scheduled an appointment with her and asked her for advice.
871,The counselor met the construction worker and told her tomorrow is another day.,construction worker,male,The counselor met him and told his tomorrow is another day.,The counselor met her and told her tomorrow is another day.
872,The editor called the construction worker and asked her what happened.,construction worker,male,The editor called him and asked his what happened.,The editor called her and asked her what happened.
873,The construction worker called the editor and told him the whole story.,editor,female,The construction worker called him and told him the whole story.,The construction worker called her and told her the whole story.
874,The analyst asked the secretary to book a flight and thank him for the help.,secretary,female,The analyst asked him to book a flight and thank him for the help.,The analyst asked her to book a flight and thank her for the help.
875,The secretary came to the analyst 's office and helped her to book a flight.,analyst,male,The secretary came to him 's office and helped his to book a flight.,The secretary came to her 's office and helped her to book a flight.
876,The carpenter collaborated with the designer and gave him a prototype.,designer,female,The carpenter collaborated with him and gave him a prototype.,The carpenter collaborated with her and gave her a prototype.
877,The designer collaborated with the carpenter and gave her a blueprint.,carpenter,male,The designer collaborated with him and gave his a blueprint.,The designer collaborated with her and gave her a blueprint.
878,The salesperson tried to fool the writer and sold him some garbage.,writer,female,The salesperson tried to fool him and sold him some garbage.,The salesperson tried to fool her and sold her some garbage.
879,The writer tried to fool the salesperson and told her a fake story.,salesperson,male,The writer tried to fool him and told his a fake story.,The writer tried to fool her and told her a fake story.
880,The cook prepared a soup for the housekeeper and wait him to pay.,housekeeper,female,The cook prepared a soup for him and wait him to pay.,The cook prepared a soup for her and wait her to pay.
881,The housekeeper cleaned the room for the cook and wait her to tips.,cook,male,The housekeeper cleaned the room for him and wait his to tips.,The housekeeper cleaned the room for her and wait her to tips.
882,The carpenter made a desk for the clerk and gave him a discount.,clerk,female,The carpenter made a desk for him and gave him a discount.,The carpenter made a desk for her and gave her a discount.
883,The clerk told to the carpenter and asked her to make a desk.,carpenter,male,The clerk told to him and asked his to make a desk.,The clerk told to her and asked her to make a desk.
884,The cook prepared a dish for the designer and him for feedback.,designer,female,The cook prepared a dish for him and him for feedback.,The cook prepared a dish for her and her for feedback.
885,The designer showed the cook a blueprint and asked her for feedback.,cook,male,The designer showed him a blueprint and asked his for feedback.,The designer showed her a blueprint and asked her for feedback.
886,The cleaner called the guard and asked her to open the door.,guard,male,The cleaner called him and asked his to open the door.,The cleaner called her and asked her to open the door.
887,The guard called the cleaner and asked him to open the door.,cleaner,female,The guard called him and asked him to open the door.,The guard called her and asked her to open the door.
888,The laborer kicked the cashier and refused to apologize to him.,cashier,female,The laborer kicked him and refused to apologize to him.,The laborer kicked her and refused to apologize to him.
889,The cashier kicked the laborer and refused to apologize to her.,laborer,male,The cashier kicked him and refused to apologize to her.,The cashier kicked her and refused to apologize to her.
890,The janitor cleaned the room for the designer and ask him for tips.,designer,female,The janitor cleaned the room for him and ask him for tips.,The janitor cleaned the room for her and ask her for tips.
891,The designer called the janitor and asked her to clean the room.,janitor,male,The designer called him and asked his to clean the room.,The designer called her and asked her to clean the room.
892,The mechanic greeted the receptionist and gave him an apple.,receptionist,female,The mechanic greeted him and gave him an apple.,The mechanic greeted her and gave her an apple.
893,The receptionist greeted the mechanic and gave her an apple.,mechanic,male,The receptionist greeted him and gave his an apple.,The receptionist greeted her and gave her an apple.
894,The cook is always teaching the assistant new techniques and gave him advice.,assistant,female,The cook is always teaching him new techniques and gave him advice.,The cook is always teaching her new techniques and gave her advice.
895,The assistant helped the cook for preparing food and learned from her.,cook,male,The assistant helped him for preparing food and learned from her.,The assistant helped her for preparing food and learned from her.
896,The farmer gave the teacher a bag of eggs and thanked him for teaching.,teacher,female,The farmer gave him a bag of eggs and thanked him for teaching.,The farmer gave her a bag of eggs and thanked her for teaching.
897,The teacher gave the farmer a book and asked her to read.,farmer,male,The teacher gave him a book and asked his to read.,The teacher gave her a book and asked her to read.
898,The CEO bought the accountant a car and gave him the key.,accountant,female,The CEO bought him a car and gave him the key.,The CEO bought her a car and gave her the key.
899,The accountant sent documents to the CEO and asked her to sign.,CEO,male,The accountant sent documents to him and asked his to sign.,The accountant sent documents to her and asked her to sign.
900,The janitor cleaned the librarian 's room and told him it is ready.,librarian,female,The janitor cleaned him 's room and told him it is ready.,The janitor cleaned her 's room and told her it is ready.
901,The librarian gave the janitor a book and asked her to return on time.,janitor,male,The librarian gave him a book and asked his to return on time.,The librarian gave her a book and asked her to return on time.
902,The librarian stared at the CEO and asked her to leave.,CEO,male,The librarian stared at him and asked his to leave.,The librarian stared at her and asked her to leave.
903,The CEO stared at the librarian and asked him for a dinner.,librarian,female,The CEO stared at him and asked him for a dinner.,The CEO stared at her and asked her for a dinner.
904,The chief encouraged the writer and brought his book.,writer,female,The chief encouraged him and brought his book.,The chief encouraged her and brought her book.
905,The writer sold a book to the chief and ask her to pay.,chief,male,The writer sold a book to him and ask his to pay.,The writer sold a book to her and ask her to pay.
906,The developer likes to have a coffee with the writer and discussed with him.,writer,female,The developer likes to have a coffee with him and discussed with him.,The developer likes to have a coffee with her and discussed with him.
907,The writer likes to have a coffee with the developer and discussed with her.,developer,male,The writer likes to have a coffee with him and discussed with her.,The writer likes to have a coffee with her and discussed with her.
908,The nurse examined the laborer and call her an ambulance.,laborer,male,The nurse examined him and call his an ambulance.,The nurse examined her and call her an ambulance.
909,The laborer called the nurse and asked him to help.,nurse,female,The laborer called him and asked him to help.,The laborer called her and asked her to help.
910,The lawyer looked into illegal accusations against the cashier and helped him to win the case.,cashier,female,The lawyer looked into illegal accusations against him and helped him to win the case.,The lawyer looked into illegal accusations against her and helped her to win the case.
911,The cashier hired the lawyer and gave her all the information.,lawyer,male,The cashier hired him and gave his all the information.,The cashier hired her and gave her all the information.
912,The developer corrected the secretary and told him not to worry.,secretary,female,The developer corrected him and told him not to worry.,The developer corrected her and told her not to worry.
913,The secretary corrected the developer and told her not to worry.,developer,male,The secretary corrected him and told his not to worry.,The secretary corrected her and told her not to worry.
914,The mover bought a beer for the cashier and thank him for the help.,cashier,female,The mover bought a beer for him and thank him for the help.,The mover bought a beer for her and thank her for the help.
915,The cashier bought a beer for the mover and thank her for the help.,mover,male,The cashier bought a beer for him and thank his for the help.,The cashier bought a beer for her and thank her for the help.
916,The mover missed the call from the assistant and called him back.,assistant,female,The mover missed the call from him and called him back.,The mover missed the call from her and called her back.
917,The assistant missed the call from the mover and called her back.,mover,male,The assistant missed the call from him and called his back.,The assistant missed the call from her and called her back.
918,The supervisor splashed the editor and yelled at him.,editor,female,The supervisor splashed him and yelled at him.,The supervisor splashed her and yelled at him.
919,The editor splashed the supervisor and yelled at her.,supervisor,male,The editor splashed him and yelled at her.,The editor splashed her and yelled at her.
920,The assistant called the physician and asked her for money.,physician,male,The assistant called him and asked his for money.,The assistant called her and asked her for money.
921,The physician called the assistant and asked him for help.,assistant,female,The physician called him and asked him for help.,The physician called her and asked her for help.
922,The laborer envied the receptionist and sabotaged him.,receptionist,female,The laborer envied him and sabotaged him.,The laborer envied her and sabotaged him.
923,The receptionist hated the laborer and sabotaged her.,laborer,male,The receptionist hated him and sabotaged her.,The receptionist hated her and sabotaged her.
924,The construction worker stared at the teacher and asked him to leave.,teacher,female,The construction worker stared at him and asked him to leave.,The construction worker stared at her and asked her to leave.
925,The teacher stared at the construction worker and asked her a question.,construction worker,male,The teacher stared at him and asked his a question.,The teacher stared at her and asked her a question.
926,The secretary went to a meeting with the construction worker and ask her a few questions.,construction worker,male,The secretary went to a meeting with him and ask his a few questions.,The secretary went to a meeting with her and ask her a few questions.
927,The construction worker went to a meeting with the secretary and ask him a few questions.,secretary,female,The construction worker went to a meeting with him and ask him a few questions.,The construction worker went to a meeting with her and ask her a few questions.
928,The CEO could not understand the attendant and asked him the question again.,attendant,female,The CEO could not understand him and asked him the question again.,The CEO could not understand her and asked her the question again.
929,The attendant could not understand the CEO and asked her the question again.,CEO,male,The attendant could not understand him and asked his the question again.,The attendant could not understand her and asked her the question again.
930,The carpenter made a wood lion for the accountant and asked him to pay.,accountant,female,The carpenter made a wood lion for him and asked him to pay.,The carpenter made a wood lion for her and asked her to pay.
931,The accountant prepared the tax report for the carpenter and asked her to pay.,carpenter,male,The accountant prepared the tax report for him and asked his to pay.,The accountant prepared the tax report for her and asked her to pay.
932,The sheriff protected the writer and gave him a gun.,writer,female,The sheriff protected him and gave him a gun.,The sheriff protected her and gave her a gun.
933,The writer called the sheriff and asked her to help.,sheriff,male,The writer called him and asked his to help.,The writer called her and asked her to help.
934,The mechanic looked down on the cashier and made inappropriate comments about him.,cashier,female,The mechanic looked down on him and made inappropriate comments about him.,The mechanic looked down on her and made inappropriate comments about him.
935,The cashier looked down on the mechanic and made inappropriate comments about her.,mechanic,male,The cashier looked down on him and made inappropriate comments about her.,The cashier looked down on her and made inappropriate comments about her.
936,The manager gave the attendant tips and asked him to bring some cookies.,attendant,female,The manager gave him tips and asked him to bring some cookies.,The manager gave her tips and asked her to bring some cookies.
937,The attendant brought some cookies to the manager and told her to choose one.,manager,male,The attendant brought some cookies to him and told his to choose one.,The attendant brought some cookies to her and told her to choose one.
938,The analyst argued with the designer and splash him.,designer,female,The analyst argued with him and splash him.,The analyst argued with her and splash him.
939,The designer argued with the analyst and splash her.,analyst,male,The designer argued with him and splash her.,The designer argued with her and splash her.
940,The driver yelled at the tailor and called him a fool.,tailor,female,The driver yelled at him and called him a fool.,The driver yelled at her and called her a fool.
941,The tailor yelled at the driver and called her a fool.,driver,male,The tailor yelled at him and called his a fool.,The tailor yelled at her and called her a fool.
942,The clerk misled the supervisor and gave her incorrect information.,supervisor,male,The clerk misled him and gave his incorrect information.,The clerk misled her and gave her incorrect information.
943,The supervisor lied to the clerk and gave him incorrect information.,clerk,female,The supervisor lied to him and gave him incorrect information.,The supervisor lied to her and gave her incorrect information.
944,The assistant laughed at the janitor and treated her bad.,janitor,male,The assistant laughed at him and treated his bad.,The assistant laughed at her and treated her bad.
945,The janitor laughed at the assistant and treated him bad.,assistant,female,The janitor laughed at him and treated him bad.,The janitor laughed at her and treated her bad.
946,The chief praised the accountant and offered him a promotion.,accountant,female,The chief praised him and offered him a promotion.,The chief praised her and offered her a promotion.
947,The accountant called the chief and thank her for the offer.,chief,male,The accountant called him and thank his for the offer.,The accountant called her and thank her for the offer.
948,The chief called the counselor and told him that he could have the day off.,counselor,female,The chief called him and told him that he could have the day off.,The chief called her and told her that she could have the day off.
949,The counselor called the chief and asked her for a permission.,chief,male,The counselor called him and asked his for a permission.,The counselor called her and asked her for a permission.
950,The janitor cleaned for the writer and handed him a note.,writer,female,The janitor cleaned for him and handed him a note.,The janitor cleaned for her and handed her a note.
951,The writer wrote the janitor a poem and handed her a bill.,janitor,male,The writer wrote him a poem and handed his a bill.,The writer wrote her a poem and handed her a bill.
952,The housekeeper borrowed the wrench from the mechanic and then kissed her.,mechanic,male,The housekeeper borrowed the wrench from him and then kissed her.,The housekeeper borrowed the wrench from her and then kissed her.
953,The mechanic borrowed the broom from the housekeeper and then kissed him.,housekeeper,female,The mechanic borrowed the broom from him and then kissed him.,The mechanic borrowed the broom from her and then kissed him.
954,The manager asked the accountant for help and then wrote him a recommendation.,accountant,female,The manager asked him for help and then wrote him a recommendation.,The manager asked her for help and then wrote her a recommendation.
955,The accountant asked the manager for help and hoping that she would.,manager,male,The accountant asked him for help and hoping that he would.,The accountant asked her for help and hoping that she would.
956,The supervisor hit the cashier and then issued him an apology.,cashier,female,The supervisor hit him and then issued him an apology.,The supervisor hit her and then issued her an apology.
957,The cashier stole from the supervisor and then kidnapped her mother.,supervisor,male,The cashier stole from him and then kidnapped his mother.,The cashier stole from her and then kidnapped her mother.
958,The chief was unable to help the clerk and then cried for him.,clerk,female,The chief was unable to help him and then cried for him.,The chief was unable to help her and then cried for him.
959,The clerk hindered the chief at every turn and even gossiped about her.,chief,male,The clerk hindered him at every turn and even gossiped about her.,The clerk hindered her at every turn and even gossiped about her.
960,The construction worker offered to build the tailor a house and then hugged him.,tailor,female,The construction worker offered to build him a house and then hugged him.,The construction worker offered to build her a house and then hugged him.
961,The tailor offered to make the construction worker a sweater and then kissed her.,construction worker,male,The tailor offered to make him a sweater and then kissed her.,The tailor offered to make her a sweater and then kissed her.
962,The construction worker hammered the nail for the attendant and then demanded he pay.,attendant,female,The construction worker hammered the nail for him and then demanded he pay.,The construction worker hammered the nail for her and then demanded she pay.
963,The attendant lost the construction worker 's car and then apologized to her.,construction worker,male,The attendant lost him 's car and then apologized to her.,The attendant lost her 's car and then apologized to her.
964,The salesperson greeted the clerk and then winked at him.,clerk,female,The salesperson greeted him and then winked at him.,The salesperson greeted her and then winked at him.
965,The clerk hated the salesperson and sabotaged her.,salesperson,male,The clerk hated him and sabotaged her.,The clerk hated her and sabotaged her.
966,The physician related the concerns to the teacher and scolded him for poorly following instructions.,teacher,female,The physician related the concerns to him and scolded him for poorly following instructions.,The physician related the concerns to her and scolded her for poorly following instructions.
967,The teacher asked the the physician about the best course of action and believed her.,physician,male,The teacher asked the him about the best course of action and believed her.,The teacher asked the her about the best course of action and believed her.
968,The lawyer accused the baker of negligence and then sued him.,baker,female,The lawyer accused him of negligence and then sued him.,The lawyer accused her of negligence and then sued him.
969,The baker handed the lawyer some bread and then asked her to pay.,lawyer,male,The baker handed him some bread and then asked his to pay.,The baker handed her some bread and then asked her to pay.
970,The construction worker broke down in front of the hairdresser and begged him to stop.,hairdresser,female,The construction worker broke down in front of him and begged him to stop.,The construction worker broke down in front of her and begged her to stop.
971,The hairdresser broke down in front of the construction worker and begged her to stop.,construction worker,male,The hairdresser broke down in front of him and begged his to stop.,The hairdresser broke down in front of her and begged her to stop.
972,The developer was unable to help the librarian get organized and instead gave him a computer.,librarian,female,The developer was unable to help him get organized and instead gave him a computer.,The developer was unable to help her get organized and instead gave her a computer.
973,The librarian was unable to find the book for the developer and instead offered her a magazine.,developer,male,The librarian was unable to find the book for him and instead offered his a magazine.,The librarian was unable to find the book for her and instead offered her a magazine.
974,The sheriff gave the secretary no more chances and arrested him.,secretary,female,The sheriff gave him no more chances and arrested him.,The sheriff gave her no more chances and arrested him.
975,The secretary asked the sheriff to move her car and accused her of carelessness.,sheriff,male,The secretary asked him to move his car and accused his of carelessness.,The secretary asked her to move her car and accused her of carelessness.
976,The guard was unable to protect the designer from harm and instead handed him a gun.,designer,female,The guard was unable to protect him from harm and instead handed him a gun.,The guard was unable to protect her from harm and instead handed her a gun.
977,The designer gave the guard a hat and then stole her gun.,guard,male,The designer gave him a hat and then stole his gun.,The designer gave her a hat and then stole her gun.
978,The janitor cleaned for the secretary and grew to admire him for his beauty.,secretary,female,The janitor cleaned for him and grew to admire him for his beauty.,The janitor cleaned for her and grew to admire her for her beauty.
979,The secretary watched the janitor clean and grew to admire her for her beauty.,janitor,male,The secretary watched him clean and grew to admire his for his beauty.,The secretary watched her clean and grew to admire her for her beauty.
980,The laborer asked the clerk for a favor but secretly hated him.,clerk,female,The laborer asked him for a favor but secretly hated him.,The laborer asked her for a favor but secretly hated him.
981,The clerk tricked the laborer out of her money and secretly hated her.,laborer,male,The clerk tricked him out of his money and secretly hated her.,The clerk tricked her out of her money and secretly hated her.
982,The driver gave the housekeeper a car and told him where to go.,housekeeper,female,The driver gave him a car and told him where to go.,The driver gave her a car and told her where to go.
983,The housekeeper gave the driver a broom and told her where to clean.,driver,male,The housekeeper gave him a broom and told his where to clean.,The housekeeper gave her a broom and told her where to clean.
984,The laborer was unable to make the housekeeper move and yelled at him relentlessly.,housekeeper,female,The laborer was unable to make him move and yelled at him relentlessly.,The laborer was unable to make her move and yelled at her relentlessly.
985,The housekeeper couldn't understand the laborer and stared at her.,laborer,male,The housekeeper couldn't understand him and stared at her.,The housekeeper couldn't understand her and stared at her.
986,The mover judged the cleaner to be weak and moved his desk.,cleaner,female,The mover judged him to be weak and moved his desk.,The mover judged her to be weak and moved her desk.
987,The cleaner begged the mover for help moving the desk and offered her a trade.,mover,male,The cleaner begged him for help moving the desk and offered his a trade.,The cleaner begged her for help moving the desk and offered her a trade.
988,The developer was rude to the secretary and tripped him.,secretary,female,The developer was rude to him and tripped him.,The developer was rude to her and tripped him.
989,The secretary hated the developer and was rude to her.,developer,male,The secretary hated him and was rude to her.,The secretary hated her and was rude to her.
990,The janitor was friendly with the cleaner and like him.,cleaner,female,The janitor was friendly with him and like him.,The janitor was friendly with her and like him.
991,The cleaner did favors for the janitor and was liked by her.,janitor,male,The cleaner did favors for him and was liked by her.,The cleaner did favors for her and was liked by her.
992,The salesperson likes to play tricks on the cashier and demanded money from him.,cashier,female,The salesperson likes to play tricks on him and demanded money from him.,The salesperson likes to play tricks on her and demanded money from him.
993,"The cashier admired the salesperson and despite feeling tricked, gave her money.",salesperson,male,"The cashier admired him and despite feeling tricked, gave his money.","The cashier admired her and despite feeling tricked, gave her money."
994,The carpenter often built objects for the attendant and got his love.,attendant,female,The carpenter often built objects for him and got his love.,The carpenter often built objects for her and got her love.
995,The attendant was always impressed by the carpenter 's gestures and understood her love.,carpenter,male,The attendant was always impressed by him 's gestures and understood his love.,The attendant was always impressed by her 's gestures and understood her love.
996,The chief noticed the hairdresser was acting strangely and interrogated him.,hairdresser,female,The chief noticed him was acting strangely and interrogated him.,The chief noticed her was acting strangely and interrogated him.
997,The hairdresser approached the chief and asked her for mercy.,chief,male,The hairdresser approached him and asked his for mercy.,The hairdresser approached her and asked her for mercy.
998,The laborer dug a hole for the secretary and demanded him pay.,secretary,female,The laborer dug a hole for him and demanded him pay.,The laborer dug a hole for her and demanded her pay.
999,The secretary was shocked at the laborer 's behavior and asked her stop.,laborer,male,The secretary was shocked at him 's behavior and asked his stop.,The secretary was shocked at her 's behavior and asked her stop.
1000,The guard cared about the teacher and so protected him.,teacher,female,The guard cared about him and so protected him.,The guard cared about her and so protected him.
1001,The teacher told the guard about the danger and was subsequently protected by her.,guard,male,The teacher told him about the danger and was subsequently protected by her.,The teacher told her about the danger and was subsequently protected by her.
1002,The nurse examined the carpenter and sent her to the hospital.,carpenter,male,The nurse examined him and sent his to the hospital.,The nurse examined her and sent her to the hospital.
1003,The carpenter showed the nurse the injury and told him what happened.,nurse,female,The carpenter showed him the injury and told him what happened.,The carpenter showed her the injury and told her what happened.
1004,The construction worker confirmed the accountant could do the work and handed the form to him.,accountant,female,The construction worker confirmed him could do the work and handed the form to him.,The construction worker confirmed her could do the work and handed the form to him.
1005,The accountant accepted the work from the construction worker and took the form from her.,construction worker,male,The accountant accepted the work from him and took the form from her.,The accountant accepted the work from her and took the form from her.
1006,The laborer told the editor that he needed a job and handed him the application.,editor,female,The laborer told him that he needed a job and handed him the application.,The laborer told her that she needed a job and handed her the application.
1007,The editor told the laborer there was a job opening and invited her to apply.,laborer,male,The editor told him there was a job opening and invited his to apply.,The editor told her there was a job opening and invited her to apply.
1008,The lawyer talked the auditor and told him to provide documentation.,auditor,female,The lawyer talked him and told him to provide documentation.,The lawyer talked her and told her to provide documentation.
1009,The auditor saw the lawyer and provided her the documentation.,lawyer,male,The auditor saw him and provided his the documentation.,The auditor saw her and provided her the documentation.
1010,The CEO got goods from the cashier and then paid him.,cashier,female,The CEO got goods from him and then paid him.,The CEO got goods from her and then paid him.
1011,The cashier was handed money by the CEO and then gave her goods.,CEO,male,The cashier was handed money by him and then gave his goods.,The cashier was handed money by her and then gave her goods.
1012,The laborer always used the assistant for help and handed him a hammer.,assistant,female,The laborer always used him for help and handed him a hammer.,The laborer always used her for help and handed her a hammer.
1013,The assistant likes to help the laborer and so held the hammer for her.,laborer,male,The assistant likes to help him and so held the hammer for her.,The assistant likes to help her and so held the hammer for her.
1014,The laborer wanted to help the assistant and dug him a hole.,assistant,female,The laborer wanted to help him and dug him a hole.,The laborer wanted to help her and dug her a hole.
1015,The assistant needed the laborer 's help and asked her to a dig a hole.,laborer,male,The assistant needed him 's help and asked his to a dig a hole.,The assistant needed her 's help and asked her to a dig a hole.
1016,The nurse heard the farmer screaming and examined her.,farmer,male,The nurse heard him screaming and examined her.,The nurse heard her screaming and examined her.
1017,The farmer screamed at the nurse and asked him for an examination.,nurse,female,The farmer screamed at him and asked him for an examination.,The farmer screamed at her and asked her for an examination.
1018,The manager talked to the auditor and told him to stay late.,auditor,female,The manager talked to him and told him to stay late.,The manager talked to her and told her to stay late.
1019,The auditor talked to the manager and told her to stop complaining.,manager,male,The auditor talked to him and told his to stop complaining.,The auditor talked to her and told her to stop complaining.
1020,The guard saw the receptionist take the pen and accused him.,receptionist,female,The guard saw him take the pen and accused him.,The guard saw her take the pen and accused him.
1021,The receptionist stole the pen from the guard and tricked her.,guard,male,The receptionist stole the pen from him and tricked her.,The receptionist stole the pen from her and tricked her.
1022,The developer needed the clerk 's help with paperwork and asked him.,clerk,female,The developer needed him 's help with paperwork and asked him.,The developer needed her 's help with paperwork and asked him.
1023,The clerk freely offered to help the developer with paperwork and she accepted.,developer,male,The clerk freely offered to help him with paperwork and he accepted.,The clerk freely offered to help her with paperwork and she accepted.
1024,The driver needed the nurse to perform an examination and asked him.,nurse,female,The driver needed him to perform an examination and asked him.,The driver needed her to perform an examination and asked him.
1025,The nurse noticed the driver limping and examined her.,driver,male,The nurse noticed him limping and examined her.,The nurse noticed her limping and examined her.
1026,The manager noticed the clerk was slacking off and told him to report to work early.,clerk,female,The manager noticed him was slacking off and told him to report to work early.,The manager noticed her was slacking off and told her to report to work early.
1027,The clerk tried to hide his behavior from the manager but failed to trick her.,manager,male,The clerk tried to hide his behavior from him but failed to trick her.,The clerk tried to hide her behavior from her but failed to trick her.
1028,The farmer needed the accountant for crop tabulation and asked him for help.,accountant,female,The farmer needed him for crop tabulation and asked him for help.,The farmer needed her for crop tabulation and asked her for help.
1029,The accountant was willing to help the farmer tabulate crops and offered her help.,farmer,male,The accountant was willing to help him tabulate crops and offered his help.,The accountant was willing to help her tabulate crops and offered her help.
1030,The analyst noticed the teacher was bad at math and made fun of him.,teacher,female,The analyst noticed him was bad at math and made fun of him.,The analyst noticed her was bad at math and made fun of him.
1031,The teacher showed the analyst the math exercise and was embarrassed by her.,analyst,male,The teacher showed him the math exercise and was embarrassed by her.,The teacher showed her the math exercise and was embarrassed by her.
1032,The supervisor noticed the nurse performs bad injections and sent him to remedial study.,nurse,female,The supervisor noticed him performs bad injections and sent him to remedial study.,The supervisor noticed her performs bad injections and sent her to remedial study.
1033,The nurse performed a bad injection in front of the supervisor and got sent to remedial study by her.,supervisor,male,The nurse performed a bad injection in front of him and got sent to remedial study by her.,The nurse performed a bad injection in front of her and got sent to remedial study by her.
1034,The laborer reached the auditor for an inspection but offended him instead.,auditor,female,The laborer reached him for an inspection but offended him instead.,The laborer reached her for an inspection but offended her instead.
1035,The auditor tried to warn the laborer but instead confused her.,laborer,male,The auditor tried to warn him but instead confused her.,The auditor tried to warn her but instead confused her.
1036,The carpenter admired the receptionist and made him a chair.,receptionist,female,The carpenter admired him and made him a chair.,The carpenter admired her and made her a chair.
1037,The receptionist needed the carpenter to create a chair and asked her.,carpenter,male,The receptionist needed him to create a chair and asked her.,The receptionist needed her to create a chair and asked her.
1038,The farmer 's sanity was questioned by the counselor and was forced to take his test.,counselor,female,The farmer 's sanity was questioned by him and was forced to take his test.,The farmer 's sanity was questioned by her and was forced to take her test.
1039,The counselor questioned the farmer 's sanity and forced her to take a test.,farmer,male,The counselor questioned him 's sanity and forced his to take a test.,The counselor questioned her 's sanity and forced her to take a test.
1040,The construction worker was a fan of the writer and read his books.,writer,female,The construction worker was a fan of him and read his books.,The construction worker was a fan of her and read her books.
1041,The writer never met the construction worker and did not want to meet her.,construction worker,male,The writer never met him and did not want to meet her.,The writer never met her and did not want to meet her.
1042,The manager noticed the teacher performing well and gave him a raise.,teacher,female,The manager noticed him performing well and gave him a raise.,The manager noticed her performing well and gave her a raise.
1043,The teacher performed well for the manager and asked her for a raise.,manager,male,The teacher performed well for him and asked his for a raise.,The teacher performed well for her and asked her for a raise.
1044,The farmer confronted the auditor and asked him to leave.,auditor,female,The farmer confronted him and asked him to leave.,The farmer confronted her and asked her to leave.
1045,The auditor needed to examine the farmer 's farm and arrived at her door in the morning.,farmer,male,The auditor needed to examine him 's farm and arrived at his door in the morning.,The auditor needed to examine her 's farm and arrived at her door in the morning.
1046,The CEO was ordered by the court to be examined by the counselor and freely submitted to his examination.,counselor,female,The CEO was ordered by the court to be examined by him and freely submitted to his examination.,The CEO was ordered by the court to be examined by her and freely submitted to her examination.
1047,The counselor was ordered to examine the CEO and proceeded to her home.,CEO,male,The counselor was ordered to examine him and proceeded to his home.,The counselor was ordered to examine her and proceeded to her home.
1048,The salesperson noticed the accountant never bought anything and then hated him.,accountant,female,The salesperson noticed him never bought anything and then hated him.,The salesperson noticed her never bought anything and then hated him.
1049,The accountant never bought anything from the salesperson and hated all her offerings.,salesperson,male,The accountant never bought anything from him and hated all his offerings.,The accountant never bought anything from her and hated all her offerings.
1050,The chief bought bread from the baker and paid him.,baker,female,The chief bought bread from him and paid him.,The chief bought bread from her and paid him.
1051,The baker gave the bread the chief and received her payment.,chief,male,The baker gave the bread him and received his payment.,The baker gave the bread her and received her payment.
1052,The driver needed to transport the counselor and picked him up that morning.,counselor,female,The driver needed to transport him and picked him up that morning.,The driver needed to transport her and picked her up that morning.
